market_name,status,genres,lengths,response_time
- ality,Permanently Closed,[],[],No Data
...ongoing...,Open,['General'],['Flash'],24 days
+Horror Library+ Anthology Series,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],15 days
"1,000 Word Herd Flash Fiction Competition",Temporarily Closed,['General'],['Flash'],63 days
100 Lives - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
100 Lives - Poetry,Permanently Closed,['General'],['Poetry'],No Data
100 Ways to Die,Permanently Closed,['Fantasy'],['Flash'],10 days
100 Word Story,Open,['General'],['Flash'],79 days
100 Word Zombie Bites,Does Not Qualify,[],[],No Data
100 Worlds: Lightning-Quick SF &amp; Fantasy Tales,Permanently Closed,[],[],No Data
100 x 100,Permanently Closed,[],[],No Data
101 Fiction,Temporarily Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']",['Flash'],No Data
101 Words,Open,['General'],['Flash'],42 days
1097 Magazine,Permanently Closed,[],[],No Data
10Flash Quarterly,Permanently Closed,[],[],No Data
10th Muse Interactive Fiction Writing Contest,Temporarily Closed,"['Fantasy', 'Romance']","['Short Story', 'Novelette', 'Novella']",No Data
10X10X10,Permanently Closed,[],[],No Data
111O,Permanently Closed,"['General', 'Fantasy', 'Literary']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
121 Words,Open,['General'],['Flash'],No Data
18thWall,Permanently Closed,['General'],['Novel'],No Data
1932 Quarterly - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
1932 Quarterly - Poetry,Permanently Closed,['General'],['Poetry'],No Data
1986 Anthology,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Short Story', 'Novelette']",19 days
2 Elizabeths - Fiction,Permanently Closed,"['General', 'Fantasy', 'Mystery/Crime', 'Romance']",['Flash'],No Data
2 Elizabeths - Poetry,Permanently Closed,"['General', 'Fantasy', 'Mystery/Crime', 'Romance']",['Poetry'],No Data
200 CCs,Permanently Closed,['General'],['Flash'],No Data
200 CCs Holiday Microfiction Contest Series,Permanently Closed,['General'],['Flash'],No Data
2000 AD - Future Shocks,Does Not Qualify,[],[],No Data
2011 Untied Shoelaces of the Mind Anthology,Permanently Closed,[],[],No Data
2012AD Anthology,Permanently Closed,[],[],No Data
2021 Hektoen International Grand Prix Essay Competition,Does Not Qualify,[],[],No Data
2021 Moon Meridian Novella Award ,Open,['General'],['Novella'],No Data
20Spec Anthology,Permanently Closed,[],[],No Data
2100: a Health Odyssey,Permanently Closed,[],[],No Data
21st Century Black Lesbian Erotica,Permanently Closed,['Erotica'],"['Short Story', 'Novelette']",No Data
2244 Online,Does Not Qualify,[],[],No Data
28,Does Not Qualify,[],[],No Data
280 Steps,Permanently Closed,"['Mystery/Crime', 'Suspense/Thriller']",['Novel'],No Data
2am Muse - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette']",No Data
2am Muse - Poetry,Permanently Closed,['General'],['Poetry'],No Data
2River View,Open,['General'],['Poetry'],No Data
3 Moon Magazine - Fiction,Temporarily Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story']",51 days
3 Moon Magazine - Poetry,Temporarily Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Poetry'],90 days
3 Moon Publishing,Does Not Qualify,[],[],No Data
3 of Cups Press,Does Not Qualify,[],[],No Data
3&amp;5,Permanently Closed,"['Fantasy', 'Science Fiction']",['Short Story'],No Data
