,market_name,status,genres,lengths,response_days,length_Flash,length_Short Story,length_Novelette,length_Novella,length_Poetry,length_Novel,length_Story Collection,length_Novel Excerpt,genre_General,genre_Fantasy,genre_Horror,genre_Science Fiction,genre_Romance,genre_Literary,genre_Mystery/Crime,genre_Erotica,genre_Suspense/Thriller,genre_Humor,genre_Young Adult,genre_Middle Grade,genre_Action/Adventure,genre_Historical,genre_Alternate History,genre_Western,genre_Children,genre_Furry
0,- ality,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,...ongoing...,Open,['General'],['Flash'],24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,+Horror Library+ Anthology Series,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"1,000 Word Herd Flash Fiction Competition",Temporarily Closed,['General'],['Flash'],63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100 Lives - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100 Lives - Poetry,Permanently Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100 Ways to Die,Permanently Closed,['Fantasy'],['Flash'],10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100 Word Story,Open,['General'],['Flash'],79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100 Word Zombie Bites,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100 Worlds: Lightning-Quick SF &amp; Fantasy Tales,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100 x 100,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,101 Fiction,Temporarily Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,101 Words,Open,['General'],['Flash'],42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1097 Magazine,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10Flash Quarterly,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10th Muse Interactive Fiction Writing Contest,Temporarily Closed,"['Fantasy', 'Romance']","['Short Story', 'Novelette', 'Novella']",,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10X10X10,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,111O,Permanently Closed,"['General', 'Fantasy', 'Literary']","['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,121 Words,Open,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18thWall,Permanently Closed,['General'],['Novel'],,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1932 Quarterly - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1932 Quarterly - Poetry,Permanently Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1986 Anthology,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Short Story', 'Novelette']",19.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2 Elizabeths - Fiction,Permanently Closed,"['General', 'Fantasy', 'Mystery/Crime', 'Romance']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2 Elizabeths - Poetry,Permanently Closed,"['General', 'Fantasy', 'Mystery/Crime', 'Romance']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,200 CCs,Permanently Closed,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,200 CCs Holiday Microfiction Contest Series,Permanently Closed,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2000 AD - Future Shocks,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2011 Untied Shoelaces of the Mind Anthology,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2012AD Anthology,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2021 Hektoen International Grand Prix Essay Competition,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2021 Moon Meridian Novella Award ,Open,['General'],['Novella'],,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20Spec Anthology,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
